,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
148,33248,3085,117961,118300,125821,118834,251171,118424,118836
149,25991,1614,117961,118327,118507,129909,185973,118453,129911
150,42654,30527,117961,118225,120551,119928,127692,118331,119929
151,23921,3933,117961,118343,119796,119849,157686,118638,119851
152,45517,49802,117961,118343,118514,307024,294485,118331,118332
153,33054,5659,117961,118300,124725,118321,117906,290919,118322
154,28149,70692,118315,118316,118202,118321,117906,290919,118322
155,43188,5244,117961,118343,119598,118321,117906,290919,118322
156,28149,83351,117961,118386,119954,118318,168365,118205,118319
157,30952,70134,117961,117962,126930,134095,303450,118474,118475
158,34950,25262,117961,118327,118320,118523,310608,118331,118525
159,37124,52314,117961,118300,118301,119928,219829,118331,119929
160,32642,46472,117961,119256,119257,118995,118806,292795,118997
161,45580,1810,117961,118327,120559,118641,306399,118643,118644
162,17308,55132,118169,118170,118042,118054,119008,117887,118055
163,80814,17713,117961,118225,120663,118321,117906,290919,118322
164,38704,60181,117916,118011,117884,117885,117913,117887,117888
165,80746,8697,117961,118446,119064,118361,127527,118363,118364
166,6977,7647,117961,118300,119181,118321,117906,290919,118322
167,40456,7560,117961,118300,119181,118321,117906,290919,118322
168,38,100,120140,120141,142145,117905,156948,290919,117908
169,26437,85728,118212,118580,117895,117896,117913,117887,117898
170,31441,30527,117961,118225,120551,119928,127692,118331,119929
171,32270,3651,119062,119091,123125,124152,300136,118424,124154
172,42378,18449,117961,118300,119181,118465,159686,118467,118468
173,39333,7411,117961,118386,118746,118054,168337,117887,118055
174,34982,25293,117961,118386,123072,128764,130802,118612,128765
175,42085,25629,117961,118343,120291,120006,129545,118424,120008
176,33642,58520,118003,118004,117878,117879,117879,19721,117880
177,25993,7076,117961,118225,120041,120591,120592,119095,120593
178,4675,1325,117961,117962,118910,118321,117906,290919,118322
179,18072,57718,117961,119256,119257,117946,118806,292795,117948
180,27416,22363,118084,118085,117912,117879,117886,19721,117880
181,80452,30520,117902,117903,117945,128422,130134,118453,128424
182,78625,82626,118090,118091,117912,117885,117913,117887,117888
183,79092,8435,117961,118225,124449,307024,311622,118331,118332
184,42085,7029,117961,117962,120677,120357,149187,118424,120359
185,34432,54618,117961,118052,118821,117905,240983,290919,117908
186,34582,1409,117961,118300,118437,118685,139689,308574,118687
187,38470,53240,117876,117877,117878,117879,117879,19721,117880
188,44641,6235,117961,118343,118437,307024,311622,118331,118332
189,37138,4936,117961,118343,120126,124576,124577,118424,124578
190,16503,16566,117961,118327,120559,120618,304465,118643,120619
191,45300,48101,117918,117919,117941,118568,131694,19721,118570
192,37138,5030,117961,118343,120126,119433,133686,118424,119435
193,75834,4261,118212,118213,126955,118321,173628,290919,118322
194,42085,6732,117961,117969,6725,120527,275449,6725,120529
195,16443,7076,117961,118225,120323,119093,120324,119095,119096
196,34924,34927,117961,118327,120299,137969,217580,118612,137970
197,15365,3868,117961,118052,120096,117905,117906,290919,117908
198,42388,7029,117961,117962,120677,120357,149187,118424,120359
199,81076,54618,117961,118052,118821,118321,117906,290919,118322
200,32621,1437,118212,118213,118437,120812,192211,118638,120814
201,43242,2827,118887,118888,119136,119587,254340,118704,119589
202,37981,21083,118106,118107,117941,117879,121445,19721,117880
203,74196,7647,117961,118300,119181,118321,117906,290919,118322
204,74302,2069,121518,121519,117895,128093,144793,119184,128095
205,16459,3230,117961,118386,121961,118523,310608,118331,118525
206,16923,4718,117961,118446,120317,117905,117906,290919,117908
207,41276,50976,117961,118413,119968,118321,117906,290919,118322
208,25812,118151,118079,118080,117878,118370,118371,118372,118373
209,3853,4998,117961,118343,119598,307024,311622,118331,118332
210,79092,3656,117961,118300,118631,118924,153285,118667,118926
211,967,15459,118169,118170,135245,259173,143905,292795,118943
212,42093,5186,118887,118888,124656,118912,309291,118424,118914
213,16988,15608,117961,118343,118395,118396,269406,118398,118399
214,5334,771,117961,118300,120722,118321,117906,290919,118322
215,74190,1443,117961,118343,120722,118321,117906,290919,118322
216,7543,7398,117961,118225,119924,118321,240983,290919,118322
217,20351,1938,117961,118300,118066,179731,304465,117887,117973
218,33147,2014,117961,117962,118910,120773,127525,118960,120774
219,42031,71192,117961,118386,118522,117905,117906,290919,117908
220,45232,3048,119062,119091,119734,153957,155022,118667,153959
221,79092,8784,117961,118300,119890,118422,147040,118424,118425
222,41594,41595,121785,121786,120299,120300,292871,120302,120303
223,42367,46610,117902,118041,118556,280788,280788,292795,119082
224,15064,17261,117961,118343,118833,118054,120238,117887,118055
225,80507,17514,117961,118343,121747,118321,117906,290919,118322
226,25993,20648,118219,118220,117941,117879,117897,19721,117880
227,78602,5432,117961,118327,118391,117905,117906,290919,117908
228,17226,4993,117961,118300,118979,118912,309291,118424,118914
229,6977,8607,117961,118225,118403,117905,240983,290919,117908
230,36971,7454,117961,118413,122007,118321,117906,290919,118322
231,90381,74746,117961,118327,118933,118784,121873,290919,118786
232,39331,83351,117961,118386,119954,118318,311618,118205,118319
233,33147,15389,117961,118225,122870,124886,128018,118643,124888
234,28344,7434,117961,118343,118514,118321,117906,290919,118322
235,20292,311085,117926,117927,117884,117879,117886,19721,117880
236,45652,7553,117961,118225,118403,118321,117906,290919,118322
237,22598,8094,117961,118343,139876,117905,117906,290919,117908
238,34950,7660,117961,118386,120361,118321,117906,290919,118322
239,80943,15967,117961,118300,124942,117905,117906,290919,117908
240,38719,58489,117916,117917,117884,117885,117913,117887,117888
241,43876,46754,118079,118080,117878,117879,118177,19721,117880
242,34025,4100,118290,118291,120291,119928,278266,118331,119929
243,75305,16973,117961,118300,124942,118321,117906,290919,118322
244,15716,73407,117902,118041,117945,280788,280788,292795,119082
245,4675,7072,117961,117962,118352,117905,117906,290919,117908
246,45015,8592,119062,119091,118514,117905,117906,290919,117908
247,23842,5330,117961,118052,122938,120097,174445,270488,120099
248,1151,124899,117961,118327,120171,118054,118054,117887,118055
249,74261,189,117961,118413,121639,117905,240983,290919,117908
250,3853,23224,117961,118225,120535,118890,311441,118398,118892
251,41758,41795,118315,118316,118317,119351,256809,3130,119353
252,972,4901,119596,119597,119598,118293,118294,118295,118296
253,79092,59785,91261,118026,120671,121143,184917,249618,121145
254,23921,119074,118163,119075,119076,118834,311236,118424,118836
255,391,50185,118216,118587,117884,117885,117913,117887,117888
256,16503,8106,117961,118327,120559,118318,181945,118205,118319
257,33642,98683,117975,117976,117941,118568,281735,19721,118570
258,80308,15894,117961,118052,119986,118685,126297,308574,118687
259,42006,2908,117961,118343,118979,119433,133686,118424,119435
260,44722,16850,117961,118225,119238,119093,180121,119095,119096
261,75324,1911,117943,117944,118042,118043,118176,270488,118046
262,40955,100547,118212,118213,119136,123670,232072,121916,123672
263,34628,1065,117961,118327,120559,118641,132791,118643,118644
264,74190,85728,118212,118580,117895,117896,117897,117887,117898
265,74236,51138,117961,118413,119968,118321,117906,290919,118322
266,34591,2594,117961,118300,123472,117905,117906,290919,117908
267,1937,1482,117961,117962,118450,118841,128747,118643,118843
268,23966,124899,117961,118327,120171,118054,118054,117887,118055
269,34429,5507,117961,118413,120370,117905,117906,290919,117908
270,6977,4519,117961,118300,118783,117905,117906,290919,117908
271,70087,35693,117916,118011,117920,121067,229187,121069,121070
272,31441,30523,117961,118343,119984,123067,269406,118398,123068
273,25993,14862,117961,118225,118403,118980,301534,118295,118982
274,16988,5016,117961,118343,121710,120789,250337,118424,120791
275,20897,3608,117961,118052,120671,120418,232183,249618,120419
276,20364,125466,117902,117903,120171,118863,142453,118398,118865
277,79121,5192,119596,119597,118825,118293,118294,118295,118296
278,20277,20939,117980,117981,118246,179731,188582,117887,117973
279,34591,2594,117961,118300,123472,118321,117906,290919,118322
280,17249,4887,117961,118343,119598,118422,300136,118424,118425
281,17296,23224,117961,118225,120535,123067,269406,118398,123068
282,79299,51755,119280,119281,118754,118805,118806,118474,118807
283,16219,4004,117961,118343,118856,118321,117906,290919,118322
284,6215,6217,117961,118327,118328,120765,120765,118467,120767
285,44812,70264,117961,118343,120722,118777,279443,308574,118779
286,4675,3756,117961,117969,118970,118890,125128,118398,118892
287,39883,15895,117961,118052,120677,122067,300136,118424,122069
288,39450,3936,117943,117944,117945,280788,126042,292795,119082
289,26437,85728,118212,118580,117895,117896,117897,117887,117898
290,13878,14561,118095,118096,117941,117879,117897,19721,117880
291,32270,3656,117961,118300,118631,118924,153285,118667,118926
292,917,3654,117961,118300,118631,118826,168415,118424,118828
293,60040,4933,117961,118300,118458,126869,283548,118295,126870
294,77183,2409,117961,117962,117904,127782,123170,290919,127783
295,96500,7011,117961,118052,120685,118321,117906,290919,118322
296,20222,5560,118256,118257,117945,118995,119235,292795,118997
297,33237,2409,117961,117962,117904,119949,123170,290919,119951
298,79543,6108,117961,118386,118404,118321,117906,290919,118322
299,15720,16850,117961,118225,119092,122849,119094,119095,122850
300,18072,25872,118169,118170,119796,118172,129003,249618,118175
301,40328,6736,117961,117969,6725,122290,268766,6725,122292
302,14910,6482,117961,118052,118992,118321,118448,290919,118322
303,25287,18189,117961,118327,123757,118321,117906,290919,118322
304,31299,7212,117961,118300,124725,124194,145500,118363,124196
305,7678,744,117961,118300,120722,118321,117906,290919,118322
306,74909,8520,117961,118386,119954,118318,168365,118205,118319
307,4675,1930,122880,122974,122870,120097,281292,270488,120099
308,74646,770,117961,118300,119181,119346,302830,4673,119348
309,79092,7388,117961,118225,119924,118318,168365,118205,118319
310,75078,92887,118315,118463,118522,129229,147633,119788,129231
311,17308,14650,118219,118220,117920,117899,117899,19721,117900
312,31996,8430,117961,118225,118403,118321,117906,290919,118322
313,14858,27508,117929,117940,117941,118568,125259,19721,118570
314,5112,310793,120342,120343,119076,118834,124426,118424,118836
315,80538,5041,117961,118343,119598,119928,134544,118331,119929
316,17825,2305,117961,117962,119223,128230,302830,4673,128231
317,34950,34826,118555,118178,118320,117905,117906,290919,117908
318,4679,3838,117961,118225,119924,118321,117906,290919,118322
319,75078,3889,117961,118386,121668,117905,117906,290919,117908
320,1937,6216,117961,118327,118328,124886,306399,118643,124888
321,37557,19832,117961,118386,123757,118321,117906,290919,118322
322,20351,8106,117961,118327,120559,120560,304465,118643,120562
323,41441,1334,117961,117962,118910,179731,118368,117887,117973
324,15064,52687,117961,117962,117904,179731,131272,117887,117973
325,81355,56723,118315,118316,118317,133306,120689,118205,133308
326,4675,5899,117961,118327,120318,118777,296252,308574,118779
327,75834,42230,117961,118327,118744,117905,117906,290919,117908
328,27124,32242,117961,118327,118929,119849,282370,118638,119851
329,76626,2938,117961,118413,122007,117905,117906,290919,117908
330,16003,2225,117961,117962,118501,126110,126111,118504,126112
331,41334,28253,118315,118463,123089,118321,130219,290919,118322
332,5451,770,117961,118300,120722,118747,130134,118453,118749
333,20299,92071,117929,117930,117884,117879,117886,19721,117880
334,15673,2781,117961,118300,118783,118451,130134,118453,118454
335,86127,782,117961,118413,127522,118321,117906,290919,118322
336,78851,2109,117876,117877,120694,124886,205741,118643,124888
337,20349,1080,117961,118327,118378,120952,120953,118453,120954
338,34346,810,117961,118300,123719,118321,240983,290919,118322
339,73798,52925,117980,117981,117920,118568,156279,19721,118570
340,28294,8121,91261,118026,118746,117905,117906,290919,117908
341,312129,25607,117961,118343,118856,117905,117906,290919,117908
342,38725,27818,117916,117917,117912,118568,117886,19721,118570
343,33155,2014,117961,117962,117904,120773,127525,118960,120774
344,4675,25262,117961,118327,118320,122297,301475,118331,118899
345,80847,17225,117961,118300,118535,118784,118406,290919,118786
346,38800,3949,117961,117962,118352,118777,279443,308574,118779
347,45904,55934,118006,118007,117878,179731,121256,117887,117973
348,3853,1467,117961,118343,118833,118834,127160,118424,118836
349,18072,3266,117961,118225,120323,120591,120592,119095,120593
350,79092,7001,117961,118327,118933,121594,302830,4673,121596
351,4675,7639,117961,118300,118957,117905,172635,290919,117908
352,35788,82613,117961,118300,119984,118890,311441,118398,118892
353,31661,7032,117961,118052,118992,118259,133680,290919,118261
354,78175,1140,117961,117962,118352,117905,117906,290919,117908
355,79121,2270,117961,118413,118631,123737,127475,118960,123738
356,80903,2819,117961,118300,123472,118321,117906,290919,118322
357,78311,54672,117932,117933,117878,117899,121756,19721,117900
358,25569,214,117961,118343,6104,117905,117906,290919,117908
359,18913,27518,117929,117930,117920,179731,188537,117887,117973
360,13878,5604,117961,118343,119598,118636,235245,118638,118639
361,1020,7399,118212,118213,123201,117905,117906,290919,117908
362,80381,2270,117961,118413,277693,120773,118959,118960,120774
363,40462,14638,117961,118052,118992,118784,120474,290919,118786
364,34950,56565,117961,118327,122109,120172,230830,290919,120173
365,5893,6217,117961,118327,118328,118465,121927,118467,118468
366,42085,3979,117961,118343,120347,118368,128683,117887,118486
367,78602,5432,117961,118327,118391,118641,123881,118643,118644
368,23096,2610,117961,118327,121979,118321,117906,290919,118322
369,79422,41759,118315,118463,119214,117905,117906,290919,117908
370,40062,148913,118212,118213,118921,118890,305057,118398,118892
371,25241,70643,117961,118327,120299,137969,217580,118612,137970
372,25985,55643,118256,118257,117945,118274,118806,292795,118276
373,35188,52314,117961,118300,118301,118980,306795,118295,118982
374,42085,4438,117961,118386,121668,118777,279443,308574,118779
375,5906,6007,117961,118446,16232,120418,138419,249618,120419
376,18072,46661,118256,118257,117945,118995,118806,292795,118997
377,25364,51269,117961,118300,118360,118636,247760,118638,118639
378,80674,5178,117961,118343,118660,118826,158101,118424,118828
379,77199,50952,117961,118327,118929,118321,117906,290919,118322
380,41312,17010,117943,117944,117945,118274,231536,292795,118276
381,41234,8751,117932,117933,117878,117879,117879,19721,117880
382,4675,111936,117961,118300,118783,117905,240983,290919,117908
383,42972,4713,117961,118052,120398,122022,299505,119221,122024
384,25749,5557,118169,118170,118940,247659,232183,19721,247660
385,31983,5079,117961,118300,127284,120789,284092,118424,120791
386,42093,7122,117961,118225,118403,118259,117906,290919,118261
387,35644,4819,118290,118291,118292,118293,118294,118295,118296
388,79617,85475,117961,118300,120410,118784,117906,290919,118786
389,17249,148913,118212,118213,118921,118890,305057,118398,118892
390,79625,20447,117961,118327,120283,121527,133249,118398,121529
391,4675,14800,117961,117962,118352,179731,162809,117887,117973
392,33423,4600,117961,118446,122550,307024,311622,118331,118332
393,25993,5002,117961,118343,119598,120344,310997,118424,120346
394,6670,26320,117961,118327,118391,118321,117906,290919,118322
395,75834,3944,117961,118343,118514,117905,240983,290919,117908
396,25103,7076,117961,118225,119238,119093,121698,119095,119096
397,34577,852,117961,117962,122215,123737,118959,118960,123738
398,5502,49802,117961,118343,118514,118321,124844,290919,118322
399,25749,123313,118169,118170,118171,118172,118173,249618,118175
400,32270,2395,117961,118300,123055,118054,118054,117887,118055
401,6977,7023,117961,117962,119223,118259,118260,290919,118261
402,7543,6277,117961,118343,118437,117905,240983,290919,117908
403,23799,5047,117961,118300,127284,118826,236735,118424,118828
404,31825,4098,117961,118343,118292,120006,310997,118424,120008
405,34861,71208,117961,118386,123656,118321,129272,290919,118322
406,967,17733,117961,118300,119984,118396,269406,118398,118399
407,34613,3722,117961,118300,120059,121469,159141,118424,121471
408,17292,148913,118212,118213,118921,118890,305057,118398,118892
409,75245,20440,117890,117891,117878,117899,123862,19721,117900
410,20364,5027,117961,118343,119598,118834,133686,118424,118836
411,44812,8147,117961,118327,145424,118321,117906,290919,118322
412,33642,20495,118219,118220,117941,117879,117897,19721,117880
413,25988,121925,117961,118327,118933,118321,125206,290919,118322
414,45580,46254,117961,118327,126310,124886,306399,118643,124888
415,16251,5360,117961,118446,118447,118784,117906,290919,118786
416,42093,52140,118887,118888,124656,118980,236007,118295,118982
417,39939,25724,118290,118291,119136,120056,162453,118474,120058
418,1020,96562,117902,117903,118783,118028,118368,117887,118030
419,23921,820,117961,118300,123719,118777,279443,308574,118779
420,4675,5620,121005,151110,5606,118321,117906,290919,118322
421,37651,13386,118219,118220,118221,118568,268194,19721,118570
422,33642,56776,117916,117917,117920,118568,131694,19721,118570
423,37737,25514,117918,117919,118483,117879,121445,19721,117880
424,23964,61062,117961,118446,120368,119849,219966,118638,119851
425,16767,3526,117961,118225,120323,119093,152422,119095,119096
426,74156,7520,91261,118026,124725,117905,117906,290919,117908
427,81070,5496,91261,118026,118202,118321,117906,290919,118322
428,25326,3767,120864,120865,118360,118777,279443,308574,118779
429,80786,4272,117961,118343,120666,123045,123107,120518,123047
430,33147,6751,117961,117969,6725,125687,245631,6725,125689
431,107908,15395,117961,119256,148450,123670,212510,121916,123672
432,3826,1525,117961,118413,121639,118321,117906,290919,118322
433,80860,7369,117961,118386,118896,118321,117906,290919,118322
434,37951,2112,5110,117954,117895,117896,186208,117887,117898
435,4675,16724,118212,118213,120551,117905,240983,290919,117908
436,41457,25475,118717,118718,117895,117879,118250,19721,117880
437,32270,29575,117961,117969,120574,119976,148648,19793,119978
438,78085,11826,118090,118091,117920,123191,123191,19721,123192
439,19825,15412,117961,118343,127705,119849,170027,118638,119851
440,74310,7337,117961,118300,124725,123045,159051,120518,123047
441,1020,16569,117961,118327,120559,120560,304465,118643,120562
442,1020,3225,117961,118327,118929,118784,200462,290919,118786
443,74075,2225,117961,117962,118501,126110,126111,118504,126112
444,34076,2685,122880,122974,117945,117946,149467,292795,117948
445,34005,744,117961,118300,120722,117905,117906,290919,117908
446,14666,100147,117951,117952,117941,117879,117897,19721,117880
447,70202,7014,117961,118446,119961,118278,287351,290919,118279
448,29100,3770,117961,118343,118395,120647,311441,118398,120649
449,18278,2641,117961,118327,118391,118784,117906,290919,118786
450,19815,1311,117961,117962,118910,119346,4673,4673,119348
451,39373,50781,91261,118026,139759,118321,117906,290919,118322
452,6977,7344,117961,118225,120663,138019,153236,120518,138021
453,25993,65220,118602,118603,117941,117899,117899,19721,117900
454,41235,58999,118742,118743,117941,117885,117886,117887,117888
455,28586,17319,117961,117962,118791,121469,310997,118424,121471
456,75078,28163,118315,118316,120361,118784,162214,290919,118786
457,15716,15395,118555,118178,117945,123670,212510,121916,123672
458,23921,3509,118752,119070,119781,118563,194960,270488,118565
459,34109,185,119134,119135,118575,118172,307446,249618,118175
460,18072,32884,118573,118574,117945,117946,144259,292795,117948
461,42085,52105,118595,118596,81476,118422,170384,118424,118425
462,31228,1334,117961,117962,118910,118321,240983,290919,118322
463,74001,58404,118090,118091,117884,117885,117913,117887,117888
464,80566,770,117961,118300,119181,118451,130134,118453,118454
465,42508,50976,117961,118413,119968,117905,117906,290919,117908
466,42313,16244,117961,118052,120318,118784,117906,290919,118786
467,74431,6985,119134,119135,118437,118777,264725,308574,118779
468,31222,54684,117961,117962,118910,118777,279443,308574,118779
469,35068,4945,117961,118300,118360,118636,310589,118638,118639
470,75078,70777,118315,118463,118522,118321,117906,290919,118322
471,79092,1911,117943,117944,118042,118043,118043,270488,118046
472,78745,7460,117961,118300,118783,118784,147114,290919,118786
473,31661,17244,117961,118052,120398,120006,311622,118424,120008
474,25240,7807,117961,118327,118518,120097,124862,270488,120099
475,25753,55929,122532,122533,117945,280788,280788,292795,119082
